2019-04-11 09:33:45 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
2019-04-11 09:33:45 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
2019-04-11 09:43:40 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
2019-04-11 09:43:41 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
2019-04-11 09:48:57 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
2019-04-11 09:48:58 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
2019-04-11 09:49:56 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
2019-04-11 09:49:56 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
2019-04-11 09:54:44 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
2019-04-11 09:54:44 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
2019-04-11 09:58:49 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
2019-04-11 09:58:50 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
2019-04-11 10:00:17 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
2019-04-11 10:00:17 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
2019-04-11 10:10:10 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
2019-04-11 10:10:11 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
2019-04-11 10:11:18 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
2019-04-11 10:11:19 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
2019-04-11 10:12:57 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
2019-04-11 10:12:57 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
2019-04-11 10:17:05 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
2019-04-11 10:17:06 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
2019-04-11 10:18:41 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
2019-04-11 10:18:42 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
2019-04-11 10:35:37 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
2019-04-11 10:35:37 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
2019-04-11 10:36:33 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
2019-04-11 10:36:34 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
2019-04-11 10:42:05 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
2019-04-11 10:42:06 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
2019-04-11 10:44:10 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
2019-04-11 10:44:11 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
2019-04-11 10:48:28 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
2019-04-11 10:48:29 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
2019-04-11 10:51:38 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
2019-04-11 10:51:38 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
2019-04-11 11:02:04 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
2019-04-11 11:02:04 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
2019-04-11 11:08:23 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
2019-04-11 11:08:23 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
2019-04-11 11:15:35 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
2019-04-11 11:15:35 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
2019-04-11 11:18:55 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
2019-04-11 11:18:55 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
2019-04-11 11:22:04 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
2019-04-11 11:22:05 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
2019-04-11 11:25:33 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
2019-04-11 11:25:33 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
2019-04-11 11:27:32 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
2019-04-11 11:27:32 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
2019-04-11 11:28:39 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
2019-04-11 11:28:39 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
2019-04-11 11:31:25 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
2019-04-11 11:31:25 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
2019-04-11 11:33:16 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
2019-04-11 11:33:17 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
2019-04-11 11:37:02 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
2019-04-11 11:37:02 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
2019-04-11 14:27:48 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
2019-04-11 14:27:48 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
2019-04-11 14:32:40 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
2019-04-11 14:32:41 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
2019-04-11 14:33:15 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
2019-04-11 14:33:15 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
2019-04-11 14:35:05 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
2019-04-11 14:35:05 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
2019-04-11 14:44:02 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
2019-04-11 14:44:02 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
2019-04-11 14:45:45 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
2019-04-11 14:45:45 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
2019-04-11 14:48:43 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
2019-04-11 14:48:44 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
2019-04-11 14:56:20 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
2019-04-11 14:56:20 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
2019-04-11 15:03:49 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
2019-04-11 15:03:50 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
2019-04-11 15:08:43 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
2019-04-11 15:08:44 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
2019-04-11 15:15:33 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
2019-04-11 15:15:33 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
2019-04-11 15:16:14 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
2019-04-11 15:16:14 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
2019-04-11 15:17:08 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
2019-04-11 15:17:10 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
2019-04-11 15:19:07 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
2019-04-11 15:19:07 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
2019-04-11 15:19:45 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
2019-04-11 15:19:45 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
2019-04-11 15:25:44 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
2019-04-11 15:25:44 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
